序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","苯<br />BENZENE<br />(ppb)","甲苯<br />TOLUENE<br />(ppb)","乙苯<br />ETHYLBENZENE<br />(ppb)","間、對二甲苯<br />M_P_XYLENES<br />(ppb)","鄰二甲苯<br />O_XYLENE<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨強度<br />RAIN_INT<br />(㎜)","降雨量<br />RAINFALL<br />(mm)","酸雨<br />PH_RAIN<br />(pH)","相對濕度<br />RH<br />(percent)","導電度<br />RAIN_COND<br />(μmho/cm)","紫外線指數<br />UVB<br />(UVI)","小時風向值<br />WD_HR<br />(degrees)"
77,臺北市,2018/01,古亭,1.9,0.45,-,27.3,24,10,24.2,6.08,18.11,-,2.037,0.126,1.91,-,-,-,-,-,2.46,2.12,17.01,-,-,-,-,77.36,-,-,-
78,臺北市,2017/12,古亭,2.0,0.42,-,29.7,29,15,22.23,4.71,17.52,-,2.023,0.114,1.91,-,-,-,-,-,2.53,2.23,17.85,-,-,-,-,78.66,-,-,-
79,臺北市,2017/12,萬華,2.6,0.47,-,23.5,34,15,29.28,6.59,22.69,-,-,-,-,-,-,-,-,-,2.39,2.02,18.54,-,-,-,-,71.98,-,-,-
80,臺北市,2017/12,士林,2.2,0.31,-,37.6,30,14,12.15,2.69,9.46,-,-,-,-,-,-,-,-,-,2.62,2.21,18.79,-,-,-,-,72.23,-,-,-
81,臺北市,2017/12,松山,2.6,0.41,427.22,26.2,26,16,25.06,5.99,19.07,-,1.943,0.114,1.83,-,-,-,-,-,1.89,1.45,17.35,-,-,-,-,74.57,-,-,-
82,臺北市,2017/12,中山,2.5,0.57,-,24.1,37,16,32.46,9.22,23.25,-,2.086,0.166,1.92,-,-,-,-,-,2.21,1.77,18.1,-,-,-,-,79.4,-,-,-
83,臺北市,2017/12,陽明,1.7,0.19,416.2,42.5,15,9,2.61,0.59,2.0,-,-,-,-,-,-,-,-,-,3.62,-,11.19,-,1.39,-,4.38,96.04,94.49,-,-
84,臺北市,2017/12,大同,3.0,0.97,-,-,50,15,66.17,35.58,30.59,-,2.295,0.293,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,臺北市,2017/11,陽明,1.5,0.15,414.01,39.7,7,4,2.0,0.53,1.46,-,-,-,-,-,-,-,-,-,3.33,-,16.55,-,1.94,-,4.63,97.48,56.19,-,-
86,臺北市,2017/11,萬華,2.6,0.58,-,20.4,27,11,34.51,11.34,23.16,-,-,-,-,-,-,-,-,-,1.78,1.34,23.11,-,-,-,-,79.82,-,-,-
87,臺北市,2017/11,松山,2.2,0.4,419.03,23.8,19,12,25.11,6.55,18.56,-,1.937,0.127,1.81,-,-,-,-,-,1.8,1.39,21.91,-,-,-,-,81.88,-,-,-
88,臺北市,2017/11,中山,2.5,0.59,-,21.7,27,11,33.21,10.46,22.75,-,2.103,0.185,1.92,-,-,-,-,-,2.1,1.68,22.69,-,-,-,-,86.34,-,-,-
89,臺北市,2017/11,大同,2.9,1.05,-,-,41,11,62.59,33.4,29.19,-,2.327,0.332,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,臺北市,2017/11,古亭,2.0,0.43,-,26.5,20,12,23.49,5.71,17.78,-,2.046,0.127,1.92,-,-,-,-,-,2.32,2.01,22.54,-,-,-,-,83.79,-,-,-
91,臺北市,2017/11,士林,2.5,0.31,-,33.6,23,11,13.23,2.91,10.33,-,-,-,-,-,-,-,-,-,2.38,1.97,23.42,-,-,-,-,78.87,-,-,-
92,臺北市,2017/10,士林,1.9,0.29,-,35.0,31,14,11.93,2.83,9.1,-,-,-,-,-,-,-,-,-,2.66,2.21,26.27,-,-,-,-,75.67,-,-,-
93,臺北市,2017/10,萬華,2.7,0.71,-,20.5,33,14,41.58,17.83,23.75,-,-,-,-,-,-,-,-,-,1.21,0.59,26.7,-,-,-,-,74.55,-,-,-
94,臺北市,2017/10,松山,2.4,0.35,420.16,28.4,24,14,21.93,5.71,16.22,-,1.896,0.102,1.79,-,-,-,-,-,2.0,1.55,25.12,-,-,-,-,75.84,-,-,-
95,臺北市,2017/10,中山,2.2,0.59,-,21.3,38,14,30.22,9.25,20.96,-,2.074,0.175,1.9,-,-,-,-,-,0.93,0.48,26.25,-,-,-,-,80.86,-,-,-
96,臺北市,2017/10,大同,-,0.97,-,-,48,15,55.04,28.95,26.08,-,2.241,0.291,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,臺北市,2017/10,古亭,2.0,0.38,-,29.8,26,14,19.56,4.25,15.3,-,2.018,0.102,1.92,-,-,-,-,-,2.42,2.1,25.61,-,-,-,-,77.74,-,-,-
98,臺北市,2017/10,陽明,1.7,0.13,410.13,40.6,13,8,2.03,0.42,1.57,-,-,-,-,-,-,-,-,-,3.88,-,18.85,-,3.15,-,4.39,95.65,88.53,-,-
99,臺北市,2017/09,士林,3.5,0.32,-,33.1,34,17,14.97,2.5,12.47,-,-,-,-,-,-,-,-,-,2.13,1.87,30.15,-,-,-,-,72.91,-,-,-
100,臺北市,2017/09,松山,4.0,0.43,426.7,29.5,29,19,24.85,5.73,19.12,-,1.939,0.146,1.79,-,-,-,-,-,1.75,1.33,29.24,-,-,-,-,70.62,-,-,-
101,臺北市,2017/09,古亭,3.2,0.42,-,33.0,29,17,20.91,3.97,16.95,-,2.087,0.143,1.94,-,-,-,-,-,2.0,1.66,29.66,-,-,-,-,71.24,-,-,-
102,臺北市,2017/09,陽明,2.6,0.14,412.76,42.6,17,13,4.05,0.56,3.49,-,-,-,-,-,-,-,-,-,2.57,-,22.26,-,3.81,-,4.5,88.04,50.47,-,-
103,臺北市,2017/09,中山,3.5,0.67,-,23.4,43,18,33.11,8.91,24.2,-,2.115,0.197,1.92,-,-,-,-,-,0.87,0.4,30.05,-,-,-,-,70.08,-,-,-
104,臺北市,2017/09,大同,4.6,1.24,-,-,50,17,58.77,28.93,29.85,-,2.489,0.454,2.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,臺北市,2017/09,萬華,3.6,0.81,-,22.3,37,19,42.84,16.35,26.5,-,-,-,-,-,-,-,-,-,1.04,0.5,30.66,-,-,-,-,69.22,-,-,-
106,臺北市,2017/08,古亭,2.6,0.35,-,24.6,25,16,18.81,4.37,14.44,-,2.009,0.13,1.88,-,-,-,-,-,2.15,1.72,31.31,-,-,-,-,68.37,-,-,-
107,臺北市,2017/08,萬華,3.2,0.7,-,18.1,32,16,36.18,14.77,21.41,-,-,-,-,-,-,-,-,-,1.13,0.48,32.31,-,-,-,-,65.67,-,-,-
108,臺北市,2017/08,陽明,2.3,0.13,412.14,29.3,15,12,4.8,0.87,3.93,-,-,-,-,-,-,-,-,-,2.35,-,23.17,-,1.83,-,4.49,86.82,28.16,-,-
109,臺北市,2017/08,中山,3.4,0.62,-,18.0,38,16,29.91,9.58,20.33,-,2.044,0.182,1.86,-,-,-,-,-,0.94,0.42,31.67,-,-,-,-,68.2,-,-,-
110,臺北市,2017/08,士林,3.0,0.28,-,24.6,29,15,14.99,3.03,11.97,-,-,-,-,-,-,-,-,-,2.44,2.12,31.22,-,-,-,-,68.38,-,-,-
111,臺北市,2017/08,大同,4.1,1.33,-,-,46,9,57.5,33.03,24.47,-,2.528,0.561,1.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,臺北市,2017/08,松山,3.7,0.38,425.1,23.1,24,16,22.53,6.14,16.38,-,1.895,0.136,1.76,-,-,-,-,-,1.94,1.44,31.07,-,-,-,-,65.55,-,-,-
113,臺北市,2017/07,松山,3.5,0.38,430.89,21.3,21,13,22.54,6.32,16.22,-,1.901,0.147,1.75,-,-,-,-,-,1.72,1.25,30.5,-,-,-,-,66.49,-,-,-
114,臺北市,2017/07,古亭,2.6,0.38,-,23.4,21,12,20.15,5.2,14.95,-,1.999,0.143,1.86,-,-,-,-,-,1.98,1.63,30.6,-,-,-,-,69.98,-,-,-
115,臺北市,2017/07,士林,3.0,0.31,-,22.1,26,12,16.22,3.3,12.92,-,-,-,-,-,-,-,-,-,2.28,1.94,29.62,-,-,-,-,72.05,-,-,-
116,臺北市,2017/07,萬華,3.0,0.75,-,15.7,29,14,36.61,14.3,22.31,-,-,-,-,-,-,-,-,-,1.07,0.48,31.71,-,-,-,-,67.65,-,-,-
117,臺北市,2017/07,陽明,2.3,0.11,416.22,27.8,13,10,4.28,0.86,3.4,-,-,-,-,-,-,-,-,-,2.3,-,23.93,-,3.33,-,4.71,88.04,20.11,-,-
118,臺北市,2017/07,中山,2.9,0.59,-,18.1,33,14,30.28,10.09,20.19,-,2.017,0.187,1.83,-,-,-,-,-,1.11,0.61,31.09,-,-,-,-,65.13,-,-,-
119,臺北市,2017/07,大同,3.8,1.38,-,-,46,8,61.17,37.03,24.14,-,2.386,0.417,1.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,臺北市,2017/06,中山,3.3,0.7,-,18.7,28,12,37.36,13.23,24.13,-,2.136,0.242,1.89,-,-,-,-,-,1.75,1.14,28.82,-,-,-,-,78.59,-,-,-
121,臺北市,2017/06,陽明,1.7,0.12,414.66,31.2,13,9,4.43,0.77,3.63,-,-,-,-,-,-,-,-,-,-,-,21.63,-,5.86,-,4.97,91.03,17.08,-,-
122,臺北市,2017/06,古亭,2.8,0.5,-,23.1,23,12,26.21,6.67,19.54,-,2.123,0.198,1.93,-,-,-,-,-,1.63,1.27,28.6,-,-,-,-,79.87,-,-,-
123,臺北市,2017/06,士林,2.8,0.4,-,21.5,26,13,21.15,5.05,16.1,-,-,-,-,-,-,-,-,-,1.85,1.49,28.07,-,-,-,-,80.0,-,-,-
124,臺北市,2017/06,萬華,2.9,0.6,-,19.0,23,12,31.71,8.68,23.03,-,-,-,-,-,-,-,-,-,1.44,1.03,28.17,-,-,-,-,80.93,-,-,-
125,臺北市,2017/06,大同,3.8,1.55,-,-,46,10,69.46,40.38,29.08,-,2.563,0.497,2.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,臺北市,2017/06,松山,3.7,0.51,442.75,21.1,24,15,30.72,9.74,20.97,-,2.031,0.195,1.84,-,-,-,-,-,1.51,1.1,28.37,-,-,-,-,77.53,-,-,-
127,臺北市,2017/05,古亭,2.8,0.44,-,33.6,34,16,22.23,4.26,17.97,-,2.091,0.138,1.95,-,-,-,-,-,2.1,1.78,26.44,-,-,-,-,75.29,-,-,-
128,臺北市,2017/05,松山,3.4,0.43,438.49,31.0,31,17,23.31,4.76,18.55,-,1.988,0.138,1.85,-,-,-,-,-,1.71,1.25,25.73,-,-,-,-,75.8,-,-,-
129,臺北市,2017/05,士林,2.8,0.34,-,33.7,31,15,15.34,2.4,12.94,-,-,-,-,-,-,-,-,-,2.24,1.98,25.9,-,-,-,-,77.62,-,-,-
130,臺北市,2017/05,陽明,2.0,0.16,419.49,46.1,15,11,3.59,0.51,3.03,-,-,-,-,-,-,-,-,-,-,-,19.1,-,1.8,-,4.74,92.67,26.09,-,-
