序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","平均風速<br />WS_HR<br />(m/sec)","平均風向<br />WD_HR<br />(degress)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨量<br />RAINFALL<br />(mm)","酸雨pH值<br />pH_RAIN","相對濕度<br />RH<br />(percent)","紫外線指數<br />UVB<br />(UVI)"
59,臺北市,2008/02,陽明,2.5,0.29,393.72,46.0,16,12,3.95,1.43,2.52,-,-,-,-,-,7.82,-,-,90.24,-
60,臺北市,2008/02,士林,3.6,0.54,-,32.0,53,30,24.46,5.82,18.64,-,-,-,-,-,14.47,-,-,75.25,-
61,臺北市,2008/01,松山,4.6,0.68,400.96,15.2,44,29,43.22,14.09,29.13,2.248,0.271,1.977,-,-,16.55,-,-,80.04,-
62,臺北市,2008/01,古亭,4.1,0.7,-,18.1,46,32,39.24,13.36,25.89,2.119,0.222,1.897,-,-,16.69,-,-,81.81,-
63,臺北市,2008/01,中山,3.8,0.85,-,15.0,52,32,49.62,18.51,31.12,2.4,0.327,2.073,-,-,16.64,-,-,76.75,-
64,臺北市,2008/01,萬華,4.0,0.76,-,19.8,43,30,36.32,9.69,26.63,-,-,-,-,-,16.88,-,-,81.05,-
65,臺北市,2008/01,陽明,2.5,0.28,389.4,40.8,15,10,4.75,1.4,3.34,-,-,-,-,-,10.65,-,-,89.15,-
66,臺北市,2008/01,士林,3.1,0.54,-,26.6,47,24,23.16,5.63,17.52,-,-,-,-,-,17.2,-,-,72.9,-
67,臺北市,2007/12,松山,5.5,0.74,401.47,16.9,64,36,41.85,13.82,28.02,2.315,0.288,2.027,-,-,19.4,-,-,72.49,-
68,臺北市,2007/12,古亭,4.8,0.76,-,20.3,64,42,40.46,13.78,26.68,2.165,0.25,1.915,-,-,19.54,-,-,73.92,-
69,臺北市,2007/12,中山,4.5,0.96,-,16.1,70,41,53.74,21.03,32.71,2.482,0.384,2.097,-,-,19.47,-,-,70.85,-
70,臺北市,2007/12,萬華,6.1,0.85,-,20.5,61,40,39.68,11.61,28.07,-,-,-,-,-,19.65,-,-,74.37,-
71,臺北市,2007/12,陽明,3.4,0.32,384.97,40.8,25,16,5.01,1.4,3.6,-,-,-,-,-,12.68,-,-,89.13,-
72,臺北市,2007/12,士林,4.0,0.65,-,25.5,67,36,27.05,8.55,18.5,-,-,-,-,-,19.5,-,-,70.39,-
73,臺北市,2007/11,松山,3.5,0.47,388.8,25.1,39,23,29.89,6.54,23.35,2.091,0.165,1.925,-,-,20.49,-,-,77.41,-
74,臺北市,2007/11,古亭,3.0,0.52,-,24.8,45,24,31.87,9.13,22.74,2.024,0.148,1.876,-,-,20.68,-,-,78.95,-
75,臺北市,2007/11,中山,4.0,0.63,-,21.8,45,27,37.75,10.65,27.1,2.242,0.249,1.992,-,-,20.84,-,-,75.19,-
76,臺北市,2007/11,萬華,3.1,0.61,-,25.5,42,24,31.71,7.3,24.42,-,-,-,-,-,20.96,-,-,75.31,-
77,臺北市,2007/11,陽明,1.9,0.2,386.39,44.2,18,12,3.05,1.29,1.76,-,-,-,-,-,13.87,-,-,93.82,-
78,臺北市,2007/11,士林,2.8,0.36,-,36.0,46,21,13.96,2.61,11.35,-,-,-,-,-,21.1,-,-,70.59,-
79,臺北市,2007/10,松山,3.4,0.47,387.48,26.3,40,22,27.29,6.75,20.54,2.047,0.18,1.867,-,-,24.42,-,-,74.9,-
80,臺北市,2007/10,古亭,2.8,0.53,-,24.3,45,25,29.6,8.6,21.0,2.045,0.159,1.885,-,-,25.15,-,-,75.95,-
81,臺北市,2007/10,中山,3.5,0.6,-,23.4,48,25,33.65,9.64,24.01,2.175,0.234,1.942,-,-,25.9,-,-,70.67,-
82,臺北市,2007/10,萬華,2.8,0.56,-,26.8,41,21,27.61,6.36,21.25,-,-,-,-,-,25.81,-,-,69.39,-
83,臺北市,2007/10,陽明,1.9,0.18,383.24,41.3,19,13,3.55,1.46,2.08,-,-,-,-,-,17.63,-,-,92.42,-
84,臺北市,2007/10,士林,2.7,0.33,-,36.6,42,20,12.68,2.65,10.03,-,-,-,-,-,24.85,-,-,68.23,-
85,臺北市,2007/09,松山,3.9,0.55,387.27,23.5,40,28,29.31,8.55,20.76,2.111,0.218,1.893,-,-,27.48,-,-,75.77,-
86,臺北市,2007/09,古亭,3.0,0.61,-,21.8,45,30,31.26,10.58,20.68,2.078,0.198,1.88,-,-,27.96,-,-,77.23,-
87,臺北市,2007/09,中山,4.0,0.74,-,20.0,49,31,38.92,13.31,25.61,2.314,0.329,1.985,-,-,28.44,-,-,76.33,-
88,臺北市,2007/09,萬華,2.8,0.66,-,27.3,42,25,26.7,6.61,20.09,-,-,-,-,-,28.88,-,-,70.07,-
89,臺北市,2007/09,陽明,2.4,0.17,384.16,40.6,21,17,4.33,1.48,2.84,-,-,-,-,-,21.07,-,-,89.93,-
90,臺北市,2007/09,士林,3.1,0.46,-,30.1,48,26,19.98,4.43,15.54,-,-,-,-,-,27.61,-,-,73.12,-
91,臺北市,2007/08,松山,4.3,0.59,396.81,20.0,33,23,34.16,13.95,20.2,2.204,0.285,1.919,-,-,29.09,-,-,73.87,-
92,臺北市,2007/08,古亭,3.6,0.65,-,18.2,39,21,34.59,14.58,20.01,2.103,0.263,1.84,-,-,28.62,-,-,77.54,-
93,臺北市,2007/08,中山,4.5,0.85,-,16.2,41,22,47.29,22.68,24.61,2.431,0.42,2.011,-,-,30.01,-,-,78.96,-
94,臺北市,2007/08,萬華,3.5,0.71,-,21.4,37,21,31.99,11.42,20.57,-,-,-,-,-,30.13,-,-,70.34,-
95,臺北市,2007/08,陽明,2.7,0.15,387.19,30.8,17,13,5.42,1.46,3.95,-,-,-,-,-,22.61,-,-,89.1,-
96,臺北市,2007/08,士林,3.6,0.49,-,23.8,43,21,24.6,7.78,16.82,-,-,-,-,-,29.14,-,-,73.1,-
97,臺北市,2007/07,松山,5.6,0.64,404.08,26.9,48,32,35.24,10.64,24.6,2.165,0.311,1.855,-,-,30.74,-,-,67.71,-
98,臺北市,2007/07,古亭,4.2,0.69,-,25.7,53,32,35.06,11.06,24.01,2.125,0.305,1.822,-,-,29.76,-,-,72.01,-
99,臺北市,2007/07,中山,4.8,0.86,-,23.5,63,30,45.83,16.24,29.59,2.531,0.507,2.026,-,-,30.8,-,-,68.96,-
100,臺北市,2007/07,萬華,4.4,0.66,-,30.2,48,28,27.84,6.15,21.69,-,-,-,-,-,31.61,-,-,64.83,-
101,臺北市,2007/07,陽明,3.1,0.18,387.98,36.3,27,20,7.43,1.58,5.85,-,-,-,-,-,23.95,-,-,84.43,-
102,臺北市,2007/07,士林,4.2,0.5,-,30.5,55,28,25.48,5.93,19.55,-,-,-,-,-,30.74,-,-,66.99,-
103,臺北市,2007/06,松山,5.5,0.73,410.78,21.4,40,26,44.75,16.43,28.32,2.28,0.344,1.936,-,-,27.67,-,-,79.77,-
104,臺北市,2007/06,古亭,4.6,0.82,-,19.8,46,25,45.15,15.76,29.39,2.267,0.323,1.943,-,-,27.44,-,-,80.52,-
105,臺北市,2007/06,中山,4.4,1.0,-,18.9,49,29,59.0,25.36,33.64,2.457,0.365,2.093,-,-,28.17,-,-,78.61,-
106,臺北市,2007/06,萬華,4.6,0.83,-,23.7,41,23,37.63,11.46,26.17,-,-,-,-,-,29.19,-,-,75.19,-
107,臺北市,2007/06,陽明,2.5,0.18,390.5,36.4,18,13,6.88,1.46,5.42,-,-,-,-,-,22.23,-,-,89.37,-
108,臺北市,2007/06,士林,3.4,0.62,-,25.7,45,20,29.13,7.76,21.37,-,-,-,-,-,28.12,-,-,77.54,-
109,臺北市,2007/05,松山,4.7,0.7,403.44,31.6,67,41,38.09,9.02,29.08,2.223,0.27,1.952,-,-,26.18,-,-,69.35,-
110,臺北市,2007/05,古亭,4.6,0.75,-,33.0,67,46,36.94,8.49,28.46,2.2,0.232,1.968,-,-,25.94,-,-,71.41,-
111,臺北市,2007/05,中山,5.8,0.93,-,28.0,73,47,51.6,15.77,35.82,2.375,0.313,2.062,-,-,26.53,-,-,68.87,-
112,臺北市,2007/05,萬華,4.6,0.74,-,37.1,66,39,31.1,5.05,26.05,-,-,-,-,-,27.66,-,-,63.8,-
113,臺北市,2007/05,陽明,3.1,0.28,390.47,57.6,43,29,6.39,1.14,5.23,-,-,-,-,-,20.16,-,-,83.57,-
114,臺北市,2007/05,士林,4.1,0.57,-,38.7,72,31,23.74,3.62,20.11,-,-,-,-,-,26.49,-,-,66.64,-
115,臺北市,2007/04,松山,4.5,0.74,407.08,30.2,60,38,45.21,10.86,34.35,2.227,0.284,1.943,-,-,21.2,-,-,76.6,-
116,臺北市,2007/04,古亭,3.9,0.79,-,31.0,64,43,41.79,9.91,31.87,2.234,0.224,2.01,-,-,20.84,-,-,76.29,-
117,臺北市,2007/04,中山,5.0,0.95,-,25.1,67,43,54.44,16.36,38.08,2.302,0.302,2.001,-,-,21.34,-,-,75.53,-
118,臺北市,2007/04,萬華,4.7,0.82,-,32.8,58,40,38.45,7.43,31.02,-,-,-,-,-,22.45,-,-,71.88,-
119,臺北市,2007/04,陽明,2.4,0.29,394.22,58.0,32,23,5.5,1.1,4.39,-,-,-,-,-,15.13,-,-,91.48,-
120,臺北市,2007/04,士林,3.5,0.62,-,37.1,65,35,28.25,5.14,23.11,-,-,-,-,-,21.4,-,-,77.7,-
121,臺北市,2007/03,松山,4.9,0.91,409.38,21.5,58,38,57.47,21.23,36.24,2.431,0.403,2.028,-,-,19.74,-,-,82.26,-
122,臺北市,2007/03,古亭,4.8,0.95,-,21.7,58,-,52.5,17.49,35.01,2.239,0.343,1.897,-,-,19.5,-,-,78.83,-
123,臺北市,2007/03,中山,5.1,1.14,-,17.6,64,41,67.45,28.47,38.98,2.472,0.426,2.046,-,-,19.75,-,-,79.96,-
124,臺北市,2007/03,萬華,5.7,1.01,-,22.9,53,43,49.34,15.79,33.55,-,-,-,-,-,20.83,-,-,79.58,-
125,臺北市,2007/03,陽明,2.2,0.3,393.47,50.0,25,19,5.21,1.02,4.15,-,-,-,-,-,14.26,-,-,92.96,-
126,臺北市,2007/03,士林,3.8,0.73,-,30.2,59,32,33.77,10.13,23.64,-,-,-,-,-,19.85,-,-,78.8,-
127,臺北市,2007/02,松山,5.2,0.83,403.18,22.2,66,-,52.83,20.73,32.1,2.369,0.352,2.017,-,-,18.81,-,-,76.0,-
128,臺北市,2007/02,古亭,4.7,0.84,-,22.5,66,43,46.75,15.31,31.44,2.074,0.257,1.817,-,-,18.49,-,-,73.87,-
129,臺北市,2007/02,中山,5.6,1.06,-,18.2,70,-,65.5,28.37,37.13,2.486,0.424,2.062,-,-,19.3,-,-,64.59,-
130,臺北市,2007/02,萬華,4.8,0.94,-,25.2,63,44,48.91,17.16,31.74,-,-,-,-,-,19.81,-,-,74.27,-
131,臺北市,2007/02,陽明,3.2,0.3,391.95,48.9,30,-,5.6,1.14,4.45,-,-,-,-,-,13.12,-,-,-,-
132,臺北市,2007/02,士林,4.4,0.71,-,29.5,70,-,35.45,11.82,23.63,-,-,-,-,-,18.61,-,-,73.28,-
133,臺北市,2007/01,松山,6.3,0.72,402.63,17.6,56,34,43.13,14.42,28.71,2.247,0.261,1.986,-,-,17.2,-,-,77.48,-
134,臺北市,2007/01,古亭,5.1,0.78,-,18.4,61,39,41.2,13.64,27.55,1.883,0.231,1.651,-,-,16.86,-,-,74.82,-
135,臺北市,2007/01,中山,5.8,0.93,-,12.5,61,34,53.7,21.87,31.82,2.261,0.306,1.955,-,-,17.73,-,-,65.22,-
136,臺北市,2007/01,萬華,5.6,0.79,-,20.4,54,-,35.96,9.38,26.58,-,-,-,-,-,18.25,-,-,75.34,-
137,臺北市,2007/01,陽明,3.6,0.33,393.87,41.8,32,18,4.55,1.18,3.37,-,-,-,-,-,8.67,-,-,97.88,-
138,臺北市,2007/01,士林,4.5,0.59,-,27.1,62,29,24.51,6.8,17.71,-,-,-,-,-,17.43,-,-,72.73,-
139,臺北市,2006/12,松山,5.0,0.61,411.05,19.6,40,27,39.83,12.91,26.92,2.261,0.24,2.021,-,-,18.56,-,-,80.09,-
140,臺北市,2006/12,古亭,3.7,0.67,-,19.3,47,29,37.96,13.05,24.91,2.037,0.213,1.823,-,-,18.26,-,-,77.56,-
141,臺北市,2006/12,中山,4.6,0.81,-,14.3,46,28,48.09,17.92,30.18,2.231,0.261,1.97,-,-,18.87,-,-,68.88,-
142,臺北市,2006/12,萬華,5.4,0.74,-,20.5,41,-,35.17,9.49,25.68,-,-,-,-,-,19.67,-,-,77.99,-
143,臺北市,2006/12,陽明,2.4,0.24,392.27,34.3,19,12,3.01,0.98,2.01,-,-,-,-,-,11.82,-,-,98.13,-
144,臺北市,2006/12,士林,3.0,0.48,-,29.5,46,-,21.1,5.72,15.38,-,-,-,-,-,19.07,-,-,73.89,-
145,臺北市,2006/11,松山,6.3,0.71,413.04,25.3,51,34,42.73,12.71,30.03,2.371,0.279,2.092,-,-,22.64,-,-,78.32,-
146,臺北市,2006/11,古亭,4.9,0.76,-,24.6,55,37,39.16,11.89,27.27,2.139,0.235,1.904,-,-,22.48,-,-,76.19,-
147,臺北市,2006/11,中山,5.8,0.94,-,18.0,56,35,52.47,17.96,34.52,2.353,0.282,2.072,-,-,22.75,-,-,68.77,-
148,臺北市,2006/11,萬華,5.5,0.86,-,24.6,51,-,37.34,9.27,28.07,-,-,-,-,-,23.75,-,-,76.51,-
149,臺北市,2006/11,陽明,2.9,0.28,392.06,27.0,30,21,4.0,1.17,2.83,-,-,-,-,-,16.04,-,-,-,-
150,臺北市,2006/11,士林,4.3,0.53,-,33.7,57,29,23.69,5.0,18.68,-,-,-,-,-,23.08,-,-,72.13,-
151,臺北市,2006/10,松山,5.2,0.53,401.39,31.1,58,34,29.32,6.26,23.07,2.178,0.193,1.985,-,-,25.11,-,-,76.38,-
152,臺北市,2006/10,古亭,3.9,0.55,-,30.9,56,39,28.92,6.78,22.14,1.959,0.154,1.805,-,-,25.32,-,-,72.13,-
153,臺北市,2006/10,中山,4.6,0.7,-,24.1,65,37,38.82,10.46,28.36,2.185,0.196,1.989,-,-,25.46,-,-,65.86,-
154,臺北市,2006/10,萬華,4.0,0.6,-,30.4,46,-,25.85,3.93,21.92,-,-,-,-,-,26.67,-,-,68.88,-
155,臺北市,2006/10,陽明,2.2,0.2,381.78,28.6,33,24,2.4,1.08,1.29,-,-,-,-,-,18.26,-,-,-,-
156,臺北市,2006/10,士林,3.3,0.39,-,40.7,57,31,15.02,2.35,12.66,-,-,-,-,-,25.82,-,-,65.79,-
157,臺北市,2006/09,松山,4.8,0.59,396.84,27.0,47,30,34.81,8.99,25.82,2.219,0.252,1.968,-,-,26.75,-,-,74.78,-
158,臺北市,2006/09,古亭,3.7,0.68,-,25.3,47,31,34.46,10.27,24.19,2.192,0.226,1.966,-,-,26.78,-,-,76.93,-
159,臺北市,2006/09,中山,4.9,0.8,-,19.9,46,30,45.4,14.68,30.71,2.307,0.242,2.064,-,-,26.99,-,-,70.32,-
160,臺北市,2006/09,萬華,3.9,0.67,-,28.3,40,29,31.33,6.74,24.59,-,-,-,-,-,28.06,-,-,71.94,-
161,臺北市,2006/09,陽明,2.4,0.18,384.75,46.2,24,18,3.21,0.99,2.19,-,-,-,-,-,20.4,-,-,-,-
162,臺北市,2006/09,士林,3.2,0.44,-,32.1,47,25,20.25,3.8,16.45,-,-,-,-,-,27.29,-,-,71.77,-
163,臺北市,2006/08,松山,5.2,0.54,395.68,23.1,45,30,33.09,12.01,21.08,-,-,-,-,-,29.47,-,-,67.14,-
164,臺北市,2006/08,古亭,4.1,0.64,-,20.8,46,27,33.75,11.95,21.8,2.238,0.258,1.981,-,-,29.81,-,-,71.27,-
165,臺北市,2006/08,中山,5.0,0.8,-,18.0,49,29,43.86,18.25,25.61,2.279,0.234,2.045,-,-,29.73,-,-,65.84,-
166,臺北市,2006/08,萬華,4.1,0.62,-,25.0,44,29,29.23,8.63,20.6,-,-,-,-,-,30.91,-,-,66.18,-
167,臺北市,2006/08,陽明,2.7,0.15,387.99,38.3,22,18,4.09,1.12,2.96,-,-,-,-,-,23.23,-,-,-,-
168,臺北市,2006/08,士林,4.3,0.42,-,24.8,49,24,20.65,4.9,15.75,-,-,-,-,-,29.82,-,-,68.56,-
169,臺北市,2006/07,松山,4.9,0.54,400.24,24.3,43,24,32.48,11.4,21.07,-,-,-,-,-,30.01,-,-,66.92,-
170,臺北市,2006/07,古亭,3.8,0.62,-,22.2,44,22,32.63,11.95,20.68,2.175,0.234,1.941,-,-,30.2,-,-,71.8,-
171,臺北市,2006/07,中山,4.4,0.79,-,18.1,45,24,42.78,17.84,24.94,2.466,0.435,2.031,-,-,30.38,-,-,65.51,-
172,臺北市,2006/07,萬華,3.6,0.61,-,26.7,38,22,27.65,8.79,18.86,-,-,-,-,-,31.32,-,-,67.41,-
173,臺北市,2006/07,陽明,2.4,0.14,388.65,35.4,15,10,5.21,1.22,3.98,-,-,-,-,-,23.62,-,-,-,-
174,臺北市,2006/07,士林,3.7,0.45,-,22.7,47,19,23.19,6.54,16.64,-,-,-,-,-,30.24,-,-,69.15,-
175,臺北市,2006/06,松山,5.4,0.8,414.62,23.6,50,32,47.98,18.13,29.85,-,-,-,-,-,27.93,-,-,69.03,-
176,臺北市,2006/06,古亭,4.2,0.83,-,22.4,49,29,41.5,15.63,25.87,2.265,0.327,1.938,-,-,27.92,-,-,72.77,-
177,臺北市,2006/06,中山,5.2,1.05,-,17.9,53,32,58.2,24.36,33.84,2.403,0.434,1.969,-,-,28.21,-,-,67.86,-
178,臺北市,2006/06,萬華,4.2,0.82,-,24.8,44,30,37.76,13.76,24.0,-,-,-,-,-,29.01,-,-,70.32,-
179,臺北市,2006/06,陽明,2.8,0.16,385.35,38.0,18,14,5.8,1.32,4.47,-,-,-,-,-,22.04,-,-,-,-
180,臺北市,2006/06,士林,4.4,0.67,-,25.0,52,26,33.37,9.51,23.87,-,-,-,-,-,27.96,-,-,71.85,-
